eid	groupid	artifactid	version	releasedate	license	licenseDetailed	license_url	source	updated license	notes
327494	NULL	NULL	rel/1.5.2	2/28/2003 15:19:59	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.5.3	4/8/2003 14:17:04	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.5.4	8/11/2003 6:09:51	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.6.0	12/18/2003 12:46:41	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.6.1	2/12/2004 12:39:00	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.6.2	7/16/2004 7:37:11	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.6.3	4/28/2005 13:12:32	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.6.4	5/19/2005 12:29:28	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.6.5	6/2/2005 13:03:52	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.7.0	10/29/2007 17:30:35	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.7.1	1/15/2009 11:20:14	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.8.0	2/2/2010 0:49:23	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.8.1	5/1/2010 3:41:05	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.8.2	12/20/2010 18:59:29	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.8.3	2/25/2012 19:19:07	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.8.4	5/22/2012 4:16:50	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.0	3/6/2013 4:20:43	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.1	5/16/2013 2:44:40	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.2	7/8/2013 16:49:23	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.3	12/23/2013 14:56:20	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.4	4/30/2014 3:03:47	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.5	5/31/2015 13:25:02	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	rel/1.9.6	6/29/2015 4:28:45	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	temp	5/7/2002 11:08:33	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	TOMCAT_31_BETA1	3/5/2000 19:43:47	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	TOMCAT_31_FINAL	4/12/2000 16:20:53	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	TOMCAT_31_M1	1/21/2000 4:44:50	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	TOMCAT_31_M1_RC1	1/14/2000 13:50:24	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
327494	NULL	NULL	TOMCAT_31_RC1	4/12/2000 16:20:53	Other	Other	https://raw.githubusercontent.com/apache/ant/master/LICENSE	github	Apache License,	
335084	NULL	NULL	release_0.9.1	3/5/2007 10:47:29	Other	Other	https://raw.githubusercontent.com/qos-ch/logback/master/LICENSE.txt	github	Eclipse Public License, GNU Lesser General Public License,	
335084	NULL	NULL	release_0.9.10	10/27/2008 20:57:25	Other	Other	https://raw.githubusercontent.com/qos-ch/logback/master/LICENSE.txt	github	Eclipse Public License, GNU Lesser General Public License,	
335084	NULL	NULL	release_0.9.11	10/28/2008 12:02:55	Other	Other	https://raw.githubusercontent.com/qos-ch/logback/master/LICENSE.txt	github	Eclipse Public License, GNU Lesser General Public License,	
335084	NULL	NULL	release_0.9.13	12/5/2008 10:38:30	Other	Other	https://raw.githubusercontent.com/qos-ch/logback/master/LICENSE.txt	github	Eclipse Public License, GNU Lesser General Public License,	
335084	NULL	NULL	release_0.9.14	12/29/2008 17:00:34	Other	Other	https://raw.githubusercontent.com/qos-ch/logback/master/LICENSE.txt	github	Eclipse Public License, GNU Lesser General Public License,	
335084	NULL	NULL	release_0.9.15	6/9/2009 8:48:35	Other	Other	https://raw.githubusercontent.com/qos-ch/logback/master/LICENSE.txt	github	Eclipse Public License, GNU Lesser General Public License,	
