eid	groupid	artifactid	version	releasedate	license	licenseDetailed	license_url	source	updated license	notes
63259	NULL	NULL	tika-1.3	1/19/2013 3:07:18	Other	Other	https://raw.githubusercontent.com/apache/tika/master/LICENSE.txt	github	Apache License,	
69855	NULL	NULL	connid-1.3.1	8/1/2011 12:54:46	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
69855	NULL	NULL	connid-1.3.2	8/1/2012 16:17:26	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
69855	NULL	NULL	connid-1.3.3	3/15/2013 15:10:09	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
69855	NULL	NULL	connid-1.3.3.1	8/27/2014 9:27:39	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
69855	NULL	NULL	connid-1.4.0.0	7/24/2014 13:31:08	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
69855	NULL	NULL	connid-1.4.1.0	2/4/2015 13:42:21	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
69855	NULL	NULL	connid-1.4.2.0	10/22/2015 14:07:38	Other	Other	https://raw.githubusercontent.com/Tirasa/ConnId/master/LICENSE	github	 	
70782	NULL	NULL	0.0.3.3.1.alpha1	1/20/2015 2:17:07	Other	Other	https://raw.githubusercontent.com/deeplearning4j/deeplearning4j/master/LICENSE.txt	github	Apache License,	
70782	NULL	NULL	0.0.3.3.4.alpha2	6/3/2015 21:25:19	Other	Other	https://raw.githubusercontent.com/deeplearning4j/deeplearning4j/master/LICENSE.txt	github	Apache License,	
